target_compartment,other_compartment,take_away,add_to,rate
S,I,False,True,beta
S,R,False,False,N/A
S,E,False,True,beta
S,V,False,True,vaccination
S,D,False,False,N/A
I,S,True,False,beta
I,R,False,True,gamma
I,E,True,False,beta
I,V,False,False,N/A
I,D,False,True,mu
R,S,False,False,N/A
R,I,True,False,gamma
R,E,False,False,N/A
R,V,False,False,N/A
R,D,False,True,mu
V,S,True,False,vaccination
V,I,True,False,vaccination
V,R,False,False,N/A
V,E,True,False,vaccination
V,D,False,False,N/A
D,S,True,False,mu
D,I,True,False,mu
D,R,False,False,N/A
D,E,False,False,N/A
D,V,False,False,N/A
